time_min,time_hr,intensity_mm_hr,incremental_depth_mm,cumulative_depth_mm,return_period_yr,total_duration_hr
0.0,0.0,5.806,0.097,0.097,5,2.0
1.0,0.017,5.939,0.099,0.196,5,2.0
2.0,0.033,6.079,0.101,0.297,5,2.0
3.0,0.05,6.226,0.104,0.401,5,2.0
4.0,0.067,6.381,0.106,0.507,5,2.0
5.0,0.083,6.543,0.109,0.616,5,2.0
6.0,0.1,6.714,0.112,0.728,5,2.0
7.0,0.117,6.894,0.115,0.843,5,2.0
8.0,0.133,7.084,0.118,0.961,5,2.0
9.0,0.15,7.284,0.121,1.082,5,2.0
10.0,0.167,7.497,0.125,1.207,5,2.0
11.0,0.183,7.722,0.129,1.336,5,2.0
12.0,0.2,7.961,0.133,1.469,5,2.0
13.0,0.217,8.215,0.137,1.606,5,2.0
14.0,0.233,8.486,0.141,1.747,5,2.0
15.0,0.25,8.776,0.146,1.893,5,2.0
16.0,0.267,9.085,0.151,2.045,5,2.0
17.0,0.283,9.416,0.157,2.202,5,2.0
18.0,0.3,9.772,0.163,2.365,5,2.0
19.0,0.317,10.156,0.169,2.534,5,2.0
20.0,0.333,10.57,0.176,2.71,5,2.0
21.0,0.35,11.018,0.184,2.894,5,2.0
22.0,0.367,11.504,0.192,3.085,5,2.0
23.0,0.383,12.034,0.201,3.286,5,2.0
24.0,0.4,12.612,0.21,3.496,5,2.0
25.0,0.417,13.246,0.221,3.717,5,2.0
26.0,0.433,13.945,0.232,3.949,5,2.0
27.0,0.45,14.716,0.245,4.195,5,2.0
28.0,0.467,15.572,0.26,4.454,5,2.0
29.0,0.483,16.528,0.275,4.73,5,2.0
30.0,0.5,17.6,0.293,5.023,5,2.0
31.0,0.517,18.809,0.313,5.336,5,2.0
32.0,0.533,20.182,0.336,5.673,5,2.0
33.0,0.55,21.752,0.363,6.035,5,2.0
34.0,0.567,23.563,0.393,6.428,5,2.0
35.0,0.583,25.67,0.428,6.856,5,2.0
36.0,0.6,28.146,0.469,7.325,5,2.0
37.0,0.617,31.088,0.518,7.843,5,2.0
38.0,0.633,34.632,0.577,8.42,5,2.0
39.0,0.65,38.965,0.649,9.07,5,2.0
40.0,0.667,44.358,0.739,9.809,5,2.0
41.0,0.683,51.21,0.854,10.663,5,2.0
42.0,0.7,60.141,1.002,11.665,5,2.0
43.0,0.717,72.142,1.202,12.867,5,2.0
44.0,0.733,88.905,1.482,14.349,5,2.0
45.0,0.75,113.511,1.892,16.241,5,2.0
46.0,0.767,125.131,2.086,18.326,5,2.0
47.0,0.783,106.149,1.769,20.096,5,2.0
48.0,0.8,91.551,1.526,21.621,5,2.0
49.0,0.817,80.05,1.334,22.956,5,2.0
50.0,0.833,70.807,1.18,24.136,5,2.0
51.0,0.85,63.251,1.054,25.19,5,2.0
52.0,0.867,56.982,0.95,26.14,5,2.0
53.0,0.883,51.716,0.862,27.002,5,2.0
54.0,0.9,47.241,0.787,27.789,5,2.0
55.0,0.917,43.402,0.723,28.512,5,2.0
56.0,0.933,40.078,0.668,29.18,5,2.0
57.0,0.95,37.179,0.62,29.8,5,2.0
58.0,0.967,34.632,0.577,30.377,5,2.0
59.0,0.983,32.38,0.54,30.917,5,2.0
60.0,1.0,30.377,0.506,31.423,5,2.0
61.0,1.017,28.586,0.476,31.899,5,2.0
62.0,1.033,26.976,0.45,32.349,5,2.0
63.0,1.05,25.524,0.425,32.774,5,2.0
64.0,1.067,24.207,0.403,33.178,5,2.0
65.0,1.083,23.01,0.383,33.561,5,2.0
66.0,1.1,21.916,0.365,33.927,5,2.0
67.0,1.117,20.915,0.349,34.275,5,2.0
68.0,1.133,19.994,0.333,34.609,5,2.0
69.0,1.15,19.146,0.319,34.928,5,2.0
70.0,1.167,18.362,0.306,35.234,5,2.0
71.0,1.183,17.636,0.294,35.528,5,2.0
72.0,1.2,16.962,0.283,35.81,5,2.0
73.0,1.217,16.334,0.272,36.083,5,2.0
74.0,1.233,15.749,0.262,36.345,5,2.0
75.0,1.25,15.202,0.253,36.598,5,2.0
76.0,1.267,14.69,0.245,36.843,5,2.0
77.0,1.283,14.209,0.237,37.08,5,2.0
78.0,1.3,13.758,0.229,37.309,5,2.0
79.0,1.317,13.333,0.222,37.532,5,2.0
80.0,1.333,12.932,0.216,37.747,5,2.0
81.0,1.35,12.554,0.209,37.956,5,2.0
82.0,1.367,12.196,0.203,38.16,5,2.0
83.0,1.383,11.858,0.198,38.357,5,2.0
84.0,1.4,11.537,0.192,38.55,5,2.0
85.0,1.417,11.232,0.187,38.737,5,2.0
86.0,1.433,10.943,0.182,38.919,5,2.0
87.0,1.45,10.668,0.178,39.097,5,2.0
88.0,1.467,10.406,0.173,39.27,5,2.0
89.0,1.483,10.156,0.169,39.44,5,2.0
90.0,1.5,9.918,0.165,39.605,5,2.0
91.0,1.517,9.69,0.161,39.766,5,2.0
92.0,1.533,9.472,0.158,39.924,5,2.0
93.0,1.55,9.264,0.154,40.079,5,2.0
94.0,1.567,9.064,0.151,40.23,5,2.0
95.0,1.583,8.873,0.148,40.378,5,2.0
96.0,1.6,8.69,0.145,40.522,5,2.0
97.0,1.617,8.513,0.142,40.664,5,2.0
98.0,1.633,8.344,0.139,40.803,5,2.0
99.0,1.65,8.182,0.136,40.94,5,2.0
100.0,1.667,8.025,0.134,41.074,5,2.0
101.0,1.683,7.875,0.131,41.205,5,2.0
102.0,1.7,7.729,0.129,41.334,5,2.0
103.0,1.717,7.59,0.126,41.46,5,2.0
104.0,1.733,7.455,0.124,41.584,5,2.0
105.0,1.75,7.324,0.122,41.706,5,2.0
106.0,1.767,7.199,0.12,41.826,5,2.0
107.0,1.783,7.077,0.118,41.944,5,2.0
108.0,1.8,6.96,0.116,42.06,5,2.0
109.0,1.817,6.846,0.114,42.174,5,2.0
110.0,1.833,6.736,0.112,42.287,5,2.0
111.0,1.85,6.63,0.11,42.397,5,2.0
112.0,1.867,6.527,0.109,42.506,5,2.0
113.0,1.883,6.427,0.107,42.613,5,2.0
114.0,1.9,6.33,0.106,42.719,5,2.0
115.0,1.917,6.236,0.104,42.823,5,2.0
116.0,1.933,6.145,0.102,42.925,5,2.0
117.0,1.95,6.056,0.101,43.026,5,2.0
118.0,1.967,5.97,0.1,43.125,5,2.0
119.0,1.983,5.887,0.098,43.223,5,2.0
120.0,2.0,5.806,0.097,43.32,5,2.0
