time_min,time_hr,intensity_mm_hr,incremental_depth_mm,cumulative_depth_mm,return_period_yr,total_duration_hr
0.0,0.0,0.578,0.01,0.01,5,24.0
1.0,0.017,0.579,0.01,0.019,5,24.0
2.0,0.033,0.58,0.01,0.029,5,24.0
3.0,0.05,0.581,0.01,0.039,5,24.0
4.0,0.067,0.581,0.01,0.048,5,24.0
5.0,0.083,0.582,0.01,0.058,5,24.0
6.0,0.1,0.583,0.01,0.068,5,24.0
7.0,0.117,0.584,0.01,0.077,5,24.0
8.0,0.133,0.585,0.01,0.087,5,24.0
9.0,0.15,0.586,0.01,0.097,5,24.0
10.0,0.167,0.587,0.01,0.107,5,24.0
11.0,0.183,0.588,0.01,0.117,5,24.0
12.0,0.2,0.589,0.01,0.126,5,24.0
13.0,0.217,0.59,0.01,0.136,5,24.0
14.0,0.233,0.591,0.01,0.146,5,24.0
15.0,0.25,0.592,0.01,0.156,5,24.0
16.0,0.267,0.593,0.01,0.166,5,24.0
17.0,0.283,0.594,0.01,0.176,5,24.0
18.0,0.3,0.595,0.01,0.186,5,24.0
19.0,0.317,0.596,0.01,0.196,5,24.0
20.0,0.333,0.596,0.01,0.205,5,24.0
21.0,0.35,0.597,0.01,0.215,5,24.0
22.0,0.367,0.598,0.01,0.225,5,24.0
23.0,0.383,0.599,0.01,0.235,5,24.0
24.0,0.4,0.6,0.01,0.245,5,24.0
25.0,0.417,0.601,0.01,0.255,5,24.0
26.0,0.433,0.602,0.01,0.265,5,24.0
27.0,0.45,0.603,0.01,0.276,5,24.0
28.0,0.467,0.604,0.01,0.286,5,24.0
29.0,0.483,0.605,0.01,0.296,5,24.0
30.0,0.5,0.606,0.01,0.306,5,24.0
31.0,0.517,0.607,0.01,0.316,5,24.0
32.0,0.533,0.608,0.01,0.326,5,24.0
33.0,0.55,0.609,0.01,0.336,5,24.0
34.0,0.567,0.61,0.01,0.346,5,24.0
35.0,0.583,0.611,0.01,0.357,5,24.0
36.0,0.6,0.612,0.01,0.367,5,24.0
37.0,0.617,0.613,0.01,0.377,5,24.0
38.0,0.633,0.615,0.01,0.387,5,24.0
39.0,0.65,0.616,0.01,0.397,5,24.0
40.0,0.667,0.617,0.01,0.408,5,24.0
41.0,0.683,0.618,0.01,0.418,5,24.0
42.0,0.7,0.619,0.01,0.428,5,24.0
43.0,0.717,0.62,0.01,0.439,5,24.0
44.0,0.733,0.621,0.01,0.449,5,24.0
45.0,0.75,0.622,0.01,0.459,5,24.0
46.0,0.767,0.623,0.01,0.47,5,24.0
47.0,0.783,0.624,0.01,0.48,5,24.0
48.0,0.8,0.625,0.01,0.491,5,24.0
49.0,0.817,0.626,0.01,0.501,5,24.0
50.0,0.833,0.627,0.01,0.511,5,24.0
51.0,0.85,0.628,0.01,0.522,5,24.0
52.0,0.867,0.629,0.01,0.532,5,24.0
53.0,0.883,0.63,0.011,0.543,5,24.0
54.0,0.9,0.632,0.011,0.553,5,24.0
55.0,0.917,0.633,0.011,0.564,5,24.0
56.0,0.933,0.634,0.011,0.575,5,24.0
57.0,0.95,0.635,0.011,0.585,5,24.0
58.0,0.967,0.636,0.011,0.596,5,24.0
59.0,0.983,0.637,0.011,0.606,5,24.0
60.0,1.0,0.638,0.011,0.617,5,24.0
61.0,1.017,0.639,0.011,0.628,5,24.0
62.0,1.033,0.64,0.011,0.638,5,24.0
63.0,1.05,0.642,0.011,0.649,5,24.0
64.0,1.067,0.643,0.011,0.66,5,24.0
65.0,1.083,0.644,0.011,0.671,5,24.0
66.0,1.1,0.645,0.011,0.681,5,24.0
67.0,1.117,0.646,0.011,0.692,5,24.0
68.0,1.133,0.647,0.011,0.703,5,24.0
69.0,1.15,0.649,0.011,0.714,5,24.0
70.0,1.167,0.65,0.011,0.724,5,24.0
71.0,1.183,0.651,0.011,0.735,5,24.0
72.0,1.2,0.652,0.011,0.746,5,24.0
73.0,1.217,0.653,0.011,0.757,5,24.0
74.0,1.233,0.654,0.011,0.768,5,24.0
75.0,1.25,0.656,0.011,0.779,5,24.0
76.0,1.267,0.657,0.011,0.79,5,24.0
77.0,1.283,0.658,0.011,0.801,5,24.0
78.0,1.3,0.659,0.011,0.812,5,24.0
79.0,1.317,0.66,0.011,0.823,5,24.0
80.0,1.333,0.662,0.011,0.834,5,24.0
81.0,1.35,0.663,0.011,0.845,5,24.0
82.0,1.367,0.664,0.011,0.856,5,24.0
83.0,1.383,0.665,0.011,0.867,5,24.0
84.0,1.4,0.667,0.011,0.878,5,24.0
85.0,1.417,0.668,0.011,0.889,5,24.0
86.0,1.433,0.669,0.011,0.9,5,24.0
87.0,1.45,0.67,0.011,0.912,5,24.0
88.0,1.467,0.672,0.011,0.923,5,24.0
89.0,1.483,0.673,0.011,0.934,5,24.0
90.0,1.5,0.674,0.011,0.945,5,24.0
91.0,1.517,0.675,0.011,0.956,5,24.0
92.0,1.533,0.677,0.011,0.968,5,24.0
93.0,1.55,0.678,0.011,0.979,5,24.0
94.0,1.567,0.679,0.011,0.99,5,24.0
95.0,1.583,0.68,0.011,1.002,5,24.0
96.0,1.6,0.682,0.011,1.013,5,24.0
97.0,1.617,0.683,0.011,1.024,5,24.0
98.0,1.633,0.684,0.011,1.036,5,24.0
99.0,1.65,0.686,0.011,1.047,5,24.0
100.0,1.667,0.687,0.011,1.059,5,24.0
101.0,1.683,0.688,0.011,1.07,5,24.0
102.0,1.7,0.69,0.011,1.082,5,24.0
103.0,1.717,0.691,0.012,1.093,5,24.0
104.0,1.733,0.692,0.012,1.105,5,24.0
105.0,1.75,0.694,0.012,1.116,5,24.0
106.0,1.767,0.695,0.012,1.128,5,24.0
107.0,1.783,0.696,0.012,1.14,5,24.0
108.0,1.8,0.698,0.012,1.151,5,24.0
109.0,1.817,0.699,0.012,1.163,5,24.0
110.0,1.833,0.701,0.012,1.175,5,24.0
111.0,1.85,0.702,0.012,1.186,5,24.0
112.0,1.867,0.703,0.012,1.198,5,24.0
113.0,1.883,0.705,0.012,1.21,5,24.0
114.0,1.9,0.706,0.012,1.221,5,24.0
115.0,1.917,0.708,0.012,1.233,5,24.0
116.0,1.933,0.709,0.012,1.245,5,24.0
117.0,1.95,0.71,0.012,1.257,5,24.0
118.0,1.967,0.712,0.012,1.269,5,24.0
119.0,1.983,0.713,0.012,1.281,5,24.0
120.0,2.0,0.715,0.012,1.293,5,24.0
121.0,2.017,0.716,0.012,1.304,5,24.0
122.0,2.033,0.718,0.012,1.316,5,24.0
123.0,2.05,0.719,0.012,1.328,5,24.0
