time_min,time_hr,intensity_mm_hr,incremental_depth_mm,cumulative_depth_mm,return_period_yr,total_duration_hr
0.0,0.0,0.823,0.014,0.014,25,24.0
1.0,0.017,0.825,0.014,0.027,25,24.0
2.0,0.033,0.826,0.014,0.041,25,24.0
3.0,0.05,0.827,0.014,0.055,25,24.0
4.0,0.067,0.828,0.014,0.069,25,24.0
5.0,0.083,0.83,0.014,0.083,25,24.0
6.0,0.1,0.831,0.014,0.097,25,24.0
7.0,0.117,0.832,0.014,0.11,25,24.0
8.0,0.133,0.834,0.014,0.124,25,24.0
9.0,0.15,0.835,0.014,0.138,25,24.0
10.0,0.167,0.836,0.014,0.152,25,24.0
11.0,0.183,0.838,0.014,0.166,25,24.0
12.0,0.2,0.839,0.014,0.18,25,24.0
13.0,0.217,0.84,0.014,0.194,25,24.0
14.0,0.233,0.842,0.014,0.208,25,24.0
15.0,0.25,0.843,0.014,0.222,25,24.0
16.0,0.267,0.844,0.014,0.236,25,24.0
17.0,0.283,0.846,0.014,0.25,25,24.0
18.0,0.3,0.847,0.014,0.264,25,24.0
19.0,0.317,0.849,0.014,0.279,25,24.0
20.0,0.333,0.85,0.014,0.293,25,24.0
21.0,0.35,0.851,0.014,0.307,25,24.0
22.0,0.367,0.853,0.014,0.321,25,24.0
23.0,0.383,0.854,0.014,0.335,25,24.0
24.0,0.4,0.855,0.014,0.35,25,24.0
25.0,0.417,0.857,0.014,0.364,25,24.0
26.0,0.433,0.858,0.014,0.378,25,24.0
27.0,0.45,0.86,0.014,0.393,25,24.0
28.0,0.467,0.861,0.014,0.407,25,24.0
29.0,0.483,0.863,0.014,0.421,25,24.0
30.0,0.5,0.864,0.014,0.436,25,24.0
31.0,0.517,0.865,0.014,0.45,25,24.0
32.0,0.533,0.867,0.014,0.465,25,24.0
33.0,0.55,0.868,0.014,0.479,25,24.0
34.0,0.567,0.87,0.014,0.494,25,24.0
35.0,0.583,0.871,0.015,0.508,25,24.0
36.0,0.6,0.873,0.015,0.523,25,24.0
37.0,0.617,0.874,0.015,0.537,25,24.0
38.0,0.633,0.876,0.015,0.552,25,24.0
39.0,0.65,0.877,0.015,0.566,25,24.0
40.0,0.667,0.879,0.015,0.581,25,24.0
41.0,0.683,0.88,0.015,0.596,25,24.0
42.0,0.7,0.882,0.015,0.61,25,24.0
43.0,0.717,0.883,0.015,0.625,25,24.0
44.0,0.733,0.885,0.015,0.64,25,24.0
45.0,0.75,0.886,0.015,0.655,25,24.0
46.0,0.767,0.888,0.015,0.669,25,24.0
47.0,0.783,0.889,0.015,0.684,25,24.0
48.0,0.8,0.891,0.015,0.699,25,24.0
49.0,0.817,0.892,0.015,0.714,25,24.0
50.0,0.833,0.894,0.015,0.729,25,24.0
51.0,0.85,0.895,0.015,0.744,25,24.0
52.0,0.867,0.897,0.015,0.759,25,24.0
53.0,0.883,0.898,0.015,0.774,25,24.0
54.0,0.9,0.9,0.015,0.789,25,24.0
55.0,0.917,0.901,0.015,0.804,25,24.0
56.0,0.933,0.903,0.015,0.819,25,24.0
57.0,0.95,0.905,0.015,0.834,25,24.0
58.0,0.967,0.906,0.015,0.849,25,24.0
59.0,0.983,0.908,0.015,0.864,25,24.0
60.0,1.0,0.909,0.015,0.879,25,24.0
