time_min,time_hr,intensity_mm_hr,incremental_depth_mm,cumulative_depth_mm,return_period_yr,total_duration_hr
0.0,0.0,3.823,0.064,0.064,100,6.0
1.0,0.017,3.85,0.064,0.128,100,6.0
2.0,0.033,3.876,0.065,0.192,100,6.0
3.0,0.05,3.903,0.065,0.258,100,6.0
4.0,0.067,3.931,0.066,0.323,100,6.0
5.0,0.083,3.959,0.066,0.389,100,6.0
6.0,0.1,3.987,0.066,0.455,100,6.0
7.0,0.117,4.016,0.067,0.522,100,6.0
8.0,0.133,4.045,0.067,0.59,100,6.0
9.0,0.15,4.075,0.068,0.658,100,6.0
10.0,0.167,4.105,0.068,0.726,100,6.0
11.0,0.183,4.135,0.069,0.795,100,6.0
12.0,0.2,4.167,0.069,0.865,100,6.0
13.0,0.217,4.198,0.07,0.934,100,6.0
14.0,0.233,4.23,0.071,1.005,100,6.0
15.0,0.25,4.263,0.071,1.076,100,6.0
16.0,0.267,4.296,0.072,1.148,100,6.0
17.0,0.283,4.33,0.072,1.22,100,6.0
18.0,0.3,4.364,0.073,1.293,100,6.0
19.0,0.317,4.399,0.073,1.366,100,6.0
20.0,0.333,4.435,0.074,1.44,100,6.0
21.0,0.35,4.471,0.075,1.514,100,6.0
22.0,0.367,4.508,0.075,1.589,100,6.0
23.0,0.383,4.546,0.076,1.665,100,6.0
24.0,0.4,4.584,0.076,1.742,100,6.0
25.0,0.417,4.623,0.077,1.819,100,6.0
26.0,0.433,4.662,0.078,1.896,100,6.0
27.0,0.45,4.703,0.078,1.975,100,6.0
28.0,0.467,4.744,0.079,2.054,100,6.0
29.0,0.483,4.786,0.08,2.134,100,6.0
30.0,0.5,4.828,0.08,2.214,100,6.0
31.0,0.517,4.872,0.081,2.295,100,6.0
32.0,0.533,4.916,0.082,2.377,100,6.0
33.0,0.55,4.962,0.083,2.46,100,6.0
34.0,0.567,5.008,0.083,2.543,100,6.0
35.0,0.583,5.055,0.084,2.628,100,6.0
36.0,0.6,5.103,0.085,2.713,100,6.0
37.0,0.617,5.152,0.086,2.799,100,6.0
38.0,0.633,5.202,0.087,2.885,100,6.0
39.0,0.65,5.253,0.088,2.973,100,6.0
40.0,0.667,5.305,0.088,3.061,100,6.0
41.0,0.683,5.359,0.089,3.15,100,6.0
42.0,0.7,5.413,0.09,3.241,100,6.0
43.0,0.717,5.469,0.091,3.332,100,6.0
44.0,0.733,5.526,0.092,3.424,100,6.0
45.0,0.75,5.584,0.093,3.517,100,6.0
46.0,0.767,5.643,0.094,3.611,100,6.0
47.0,0.783,5.704,0.095,3.706,100,6.0
48.0,0.8,5.766,0.096,3.802,100,6.0
49.0,0.817,5.83,0.097,3.899,100,6.0
50.0,0.833,5.895,0.098,3.998,100,6.0
51.0,0.85,5.962,0.099,4.097,100,6.0
52.0,0.867,6.031,0.101,4.198,100,6.0
53.0,0.883,6.101,0.102,4.299,100,6.0
54.0,0.9,6.173,0.103,4.402,100,6.0
55.0,0.917,6.246,0.104,4.506,100,6.0
56.0,0.933,6.322,0.105,4.612,100,6.0
57.0,0.95,6.399,0.107,4.718,100,6.0
58.0,0.967,6.479,0.108,4.826,100,6.0
59.0,0.983,6.561,0.109,4.936,100,6.0
60.0,1.0,6.645,0.111,5.046,100,6.0
61.0,1.017,6.731,0.112,5.158,100,6.0
62.0,1.033,6.82,0.114,5.272,100,6.0
63.0,1.05,6.911,0.115,5.387,100,6.0
64.0,1.067,7.004,0.117,5.504,100,6.0
65.0,1.083,7.101,0.118,5.622,100,6.0
66.0,1.1,7.2,0.12,5.742,100,6.0
67.0,1.117,7.302,0.122,5.864,100,6.0
68.0,1.133,7.408,0.123,5.988,100,6.0
69.0,1.15,7.516,0.125,6.113,100,6.0
70.0,1.167,7.628,0.127,6.24,100,6.0
71.0,1.183,7.744,0.129,6.369,100,6.0
72.0,1.2,7.863,0.131,6.5,100,6.0
73.0,1.217,7.986,0.133,6.633,100,6.0
74.0,1.233,8.113,0.135,6.768,100,6.0
75.0,1.25,8.245,0.137,6.906,100,6.0
76.0,1.267,8.381,0.14,7.046,100,6.0
77.0,1.283,8.521,0.142,7.188,100,6.0
78.0,1.3,8.667,0.144,7.332,100,6.0
79.0,1.317,8.818,0.147,7.479,100,6.0
80.0,1.333,8.975,0.15,7.629,100,6.0
81.0,1.35,9.137,0.152,7.781,100,6.0
82.0,1.367,9.306,0.155,7.936,100,6.0
83.0,1.383,9.481,0.158,8.094,100,6.0
84.0,1.4,9.663,0.161,8.255,100,6.0
85.0,1.417,9.853,0.164,8.419,100,6.0
86.0,1.433,10.05,0.168,8.587,100,6.0
87.0,1.45,10.256,0.171,8.758,100,6.0
88.0,1.467,10.47,0.175,8.932,100,6.0
89.0,1.483,10.694,0.178,9.11,100,6.0
90.0,1.5,10.928,0.182,9.292,100,6.0
91.0,1.517,11.172,0.186,9.479,100,6.0
92.0,1.533,11.428,0.19,9.669,100,6.0
93.0,1.55,11.696,0.195,9.864,100,6.0
94.0,1.567,11.977,0.2,10.064,100,6.0
95.0,1.583,12.273,0.205,10.268,100,6.0
96.0,1.6,12.583,0.21,10.478,100,6.0
97.0,1.617,12.91,0.215,10.693,100,6.0
98.0,1.633,13.254,0.221,10.914,100,6.0
99.0,1.65,13.617,0.227,11.141,100,6.0
100.0,1.667,14.001,0.233,11.374,100,6.0
101.0,1.683,14.407,0.24,11.614,100,6.0
102.0,1.7,14.837,0.247,11.862,100,6.0
103.0,1.717,15.294,0.255,12.117,100,6.0
104.0,1.733,15.779,0.263,12.38,100,6.0
105.0,1.75,16.296,0.272,12.651,100,6.0
106.0,1.767,16.848,0.281,12.932,100,6.0
107.0,1.783,17.438,0.291,13.223,100,6.0
108.0,1.8,18.07,0.301,13.524,100,6.0
109.0,1.817,18.748,0.312,13.836,100,6.0
110.0,1.833,19.478,0.325,14.161,100,6.0
111.0,1.85,20.266,0.338,14.499,100,6.0
112.0,1.867,21.118,0.352,14.851,100,6.0
113.0,1.883,22.043,0.367,15.218,100,6.0
114.0,1.9,23.049,0.384,15.602,100,6.0
115.0,1.917,24.147,0.402,16.005,100,6.0
116.0,1.933,25.351,0.423,16.427,100,6.0
117.0,1.95,26.674,0.445,16.872,100,6.0
118.0,1.967,28.135,0.469,17.341,100,6.0
119.0,1.983,29.756,0.496,17.837,100,6.0
120.0,2.0,31.562,0.526,18.363,100,6.0
121.0,2.017,33.586,0.56,18.922,100,6.0
122.0,2.033,35.866,0.598,19.52,100,6.0
123.0,2.05,38.452,0.641,20.161,100,6.0
124.0,2.067,41.406,0.69,20.851,100,6.0
125.0,2.083,44.805,0.747,21.598,100,6.0
126.0,2.1,48.753,0.813,22.41,100,6.0
127.0,2.117,53.382,0.89,23.3,100,6.0
128.0,2.133,58.872,0.981,24.281,100,6.0
129.0,2.15,65.464,1.091,25.372,100,6.0
130.0,2.167,73.499,1.225,26.597,100,6.0
131.0,2.183,83.461,1.391,27.988,100,6.0
132.0,2.2,96.064,1.601,29.589,100,6.0
133.0,2.217,112.399,1.873,31.463,100,6.0
134.0,2.233,134.205,2.237,33.7,100,6.0
135.0,2.25,164.405,2.74,36.44,100,6.0
136.0,2.267,208.248,3.471,39.91,100,6.0
137.0,2.283,250.541,4.176,44.086,100,6.0
138.0,2.3,211.744,3.529,47.615,100,6.0
139.0,2.317,182.066,3.034,50.65,100,6.0
140.0,2.333,158.789,2.646,53.296,100,6.0
141.0,2.35,140.152,2.336,55.632,100,6.0
142.0,2.367,124.964,2.083,57.715,100,6.0
143.0,2.383,112.399,1.873,59.588,100,6.0
144.0,2.4,101.867,1.698,61.286,100,6.0
145.0,2.417,92.939,1.549,62.835,100,6.0
146.0,2.433,85.292,1.422,64.256,100,6.0
147.0,2.45,78.685,1.311,65.568,100,6.0
148.0,2.467,72.929,1.215,66.783,100,6.0
149.0,2.483,67.879,1.131,67.915,100,6.0
150.0,2.5,63.419,1.057,68.972,100,6.0
151.0,2.517,59.457,0.991,69.962,100,6.0
152.0,2.533,55.918,0.932,70.894,100,6.0
153.0,2.55,52.741,0.879,71.773,100,6.0
154.0,2.567,49.876,0.831,72.605,100,6.0
155.0,2.583,47.282,0.788,73.393,100,6.0
156.0,2.6,44.924,0.749,74.141,100,6.0
157.0,2.617,42.772,0.713,74.854,100,6.0
158.0,2.633,40.802,0.68,75.534,100,6.0
159.0,2.65,38.993,0.65,76.184,100,6.0
160.0,2.667,37.327,0.622,76.806,100,6.0
161.0,2.683,35.788,0.596,77.403,100,6.0
