time_min,time_hr,intensity_mm_hr,incremental_depth_mm,cumulative_depth_mm,return_period_yr,total_duration_hr
0.0,0.0,11.222,0.187,0.187,100,2.0
1.0,0.017,11.481,0.191,0.378,100,2.0
2.0,0.033,11.751,0.196,0.574,100,2.0
3.0,0.05,12.035,0.201,0.775,100,2.0
4.0,0.067,12.334,0.206,0.98,100,2.0
5.0,0.083,12.647,0.211,1.191,100,2.0
6.0,0.1,12.977,0.216,1.407,100,2.0
7.0,0.117,13.325,0.222,1.63,100,2.0
8.0,0.133,13.692,0.228,1.858,100,2.0
9.0,0.15,14.08,0.235,2.092,100,2.0
10.0,0.167,14.491,0.242,2.334,100,2.0
11.0,0.183,14.926,0.249,2.583,100,2.0
12.0,0.2,15.389,0.256,2.839,100,2.0
13.0,0.217,15.88,0.265,3.104,100,2.0
14.0,0.233,16.404,0.273,3.377,100,2.0
15.0,0.25,16.963,0.283,3.66,100,2.0
16.0,0.267,17.561,0.293,3.953,100,2.0
17.0,0.283,18.202,0.303,4.256,100,2.0
18.0,0.3,18.89,0.315,4.571,100,2.0
19.0,0.317,19.631,0.327,4.898,100,2.0
20.0,0.333,20.431,0.341,5.239,100,2.0
21.0,0.35,21.297,0.355,5.594,100,2.0
22.0,0.367,22.237,0.371,5.964,100,2.0
23.0,0.383,23.261,0.388,6.352,100,2.0
24.0,0.4,24.379,0.406,6.758,100,2.0
25.0,0.417,25.605,0.427,7.185,100,2.0
26.0,0.433,26.954,0.449,7.634,100,2.0
27.0,0.45,28.446,0.474,8.108,100,2.0
28.0,0.467,30.101,0.502,8.61,100,2.0
29.0,0.483,31.948,0.532,9.142,100,2.0
30.0,0.5,34.02,0.567,9.709,100,2.0
31.0,0.517,36.357,0.606,10.315,100,2.0
32.0,0.533,39.011,0.65,10.966,100,2.0
33.0,0.55,42.047,0.701,11.666,100,2.0
34.0,0.567,45.547,0.759,12.425,100,2.0
35.0,0.583,49.619,0.827,13.252,100,2.0
36.0,0.6,54.405,0.907,14.159,100,2.0
37.0,0.617,60.093,1.002,15.161,100,2.0
38.0,0.633,66.943,1.116,16.276,100,2.0
39.0,0.65,75.319,1.255,17.532,100,2.0
40.0,0.667,85.742,1.429,18.961,100,2.0
41.0,0.683,98.988,1.65,20.611,100,2.0
42.0,0.7,116.251,1.938,22.548,100,2.0
43.0,0.717,139.45,2.324,24.872,100,2.0
44.0,0.733,171.852,2.864,27.736,100,2.0
45.0,0.75,219.415,3.657,31.393,100,2.0
46.0,0.767,241.875,4.031,35.425,100,2.0
47.0,0.783,205.184,3.42,38.844,100,2.0
48.0,0.8,176.965,2.949,41.794,100,2.0
49.0,0.817,154.735,2.579,44.373,100,2.0
50.0,0.833,136.869,2.281,46.654,100,2.0
51.0,0.85,122.263,2.038,48.692,100,2.0
52.0,0.867,110.146,1.836,50.527,100,2.0
53.0,0.883,99.965,1.666,52.193,100,2.0
54.0,0.9,91.316,1.522,53.715,100,2.0
55.0,0.917,83.894,1.398,55.114,100,2.0
56.0,0.933,77.47,1.291,56.405,100,2.0
57.0,0.95,71.866,1.198,57.602,100,2.0
58.0,0.967,66.943,1.116,58.718,100,2.0
59.0,0.983,62.589,1.043,59.761,100,2.0
60.0,1.0,58.717,0.979,60.74,100,2.0
61.0,1.017,55.255,0.921,61.661,100,2.0
62.0,1.033,52.145,0.869,62.53,100,2.0
63.0,1.05,49.337,0.822,63.352,100,2.0
64.0,1.067,46.792,0.78,64.132,100,2.0
65.0,1.083,44.478,0.741,64.873,100,2.0
66.0,1.1,42.364,0.706,65.579,100,2.0
67.0,1.117,40.428,0.674,66.253,100,2.0
68.0,1.133,38.649,0.644,66.897,100,2.0
69.0,1.15,37.009,0.617,67.514,100,2.0
70.0,1.167,35.494,0.592,68.106,100,2.0
71.0,1.183,34.091,0.568,68.674,100,2.0
72.0,1.2,32.787,0.546,69.22,100,2.0
73.0,1.217,31.574,0.526,69.747,100,2.0
74.0,1.233,30.443,0.507,70.254,100,2.0
75.0,1.25,29.385,0.49,70.744,100,2.0
76.0,1.267,28.395,0.473,71.217,100,2.0
77.0,1.283,27.466,0.458,71.675,100,2.0
78.0,1.3,26.593,0.443,72.118,100,2.0
79.0,1.317,25.772,0.43,72.548,100,2.0
80.0,1.333,24.998,0.417,72.964,100,2.0
81.0,1.35,24.266,0.404,73.369,100,2.0
82.0,1.367,23.575,0.393,73.762,100,2.0
83.0,1.383,22.921,0.382,74.144,100,2.0
84.0,1.4,22.301,0.372,74.515,100,2.0
85.0,1.417,21.712,0.362,74.877,100,2.0
86.0,1.433,21.153,0.353,75.23,100,2.0
87.0,1.45,20.621,0.344,75.573,100,2.0
88.0,1.467,20.114,0.335,75.909,100,2.0
89.0,1.483,19.631,0.327,76.236,100,2.0
90.0,1.5,19.17,0.32,76.555,100,2.0
91.0,1.517,18.73,0.312,76.867,100,2.0
92.0,1.533,18.309,0.305,77.173,100,2.0
93.0,1.55,17.907,0.298,77.471,100,2.0
94.0,1.567,17.521,0.292,77.763,100,2.0
95.0,1.583,17.151,0.286,78.049,100,2.0
96.0,1.6,16.797,0.28,78.329,100,2.0
97.0,1.617,16.456,0.274,78.603,100,2.0
98.0,1.633,16.129,0.269,78.872,100,2.0
99.0,1.65,15.815,0.264,79.136,100,2.0
100.0,1.667,15.513,0.259,79.394,100,2.0
101.0,1.683,15.221,0.254,79.648,100,2.0
102.0,1.7,14.941,0.249,79.897,100,2.0
103.0,1.717,14.67,0.245,80.141,100,2.0
104.0,1.733,14.41,0.24,80.381,100,2.0
105.0,1.75,14.158,0.236,80.617,100,2.0
106.0,1.767,13.915,0.232,80.849,100,2.0
107.0,1.783,13.68,0.228,81.077,100,2.0
108.0,1.8,13.453,0.224,81.302,100,2.0
109.0,1.817,13.234,0.221,81.522,100,2.0
110.0,1.833,13.021,0.217,81.739,100,2.0
111.0,1.85,12.815,0.214,81.953,100,2.0
112.0,1.867,12.616,0.21,82.163,100,2.0
113.0,1.883,12.423,0.207,82.37,100,2.0
114.0,1.9,12.236,0.204,82.574,100,2.0
115.0,1.917,12.054,0.201,82.775,100,2.0
116.0,1.933,11.878,0.198,82.973,100,2.0
117.0,1.95,11.707,0.195,83.168,100,2.0
118.0,1.967,11.541,0.192,83.36,100,2.0
119.0,1.983,11.379,0.19,83.55,100,2.0
120.0,2.0,11.222,0.187,83.737,100,2.0
