timestamp,year,month,day,hour,is_monsoon,precipitation_mm_hr,temperature_c,relative_humidity_pct,antecedent_rain_24h_mm,antecedent_rain_72h_mm
2010-01-01 00:00:00,2010,1,1,0,0,0.0,20.5,46.7,0.0,0.0
2010-01-01 01:00:00,2010,1,1,1,0,0.0,19.9,48.6,0.0,0.0
2010-01-01 02:00:00,2010,1,1,2,0,0.0,19.4,46.8,0.0,0.0
2010-01-01 03:00:00,2010,1,1,3,0,0.0,19.1,56.5,0.0,0.0
2010-01-01 04:00:00,2010,1,1,4,0,0.0,19.0,59.5,0.0,0.0
2010-01-01 05:00:00,2010,1,1,5,0,0.0,19.1,56.0,0.0,0.0
2010-01-01 06:00:00,2010,1,1,6,0,0.0,19.4,49.4,0.0,0.0
2010-01-01 07:00:00,2010,1,1,7,0,0.0,19.9,56.7,0.0,0.0
2010-01-01 08:00:00,2010,1,1,8,0,0.0,20.5,52.2,0.0,0.0
2010-01-01 09:00:00,2010,1,1,9,0,0.0,21.2,51.5,0.0,0.0
2010-01-01 10:00:00,2010,1,1,10,0,0.0,22.0,53.0,0.0,0.0
2010-01-01 11:00:00,2010,1,1,11,0,0.0,22.8,63.5,0.0,0.0
2010-01-01 12:00:00,2010,1,1,12,0,0.0,23.5,52.1,0.0,0.0
2010-01-01 13:00:00,2010,1,1,13,0,0.0,24.1,49.7,0.0,0.0
2010-01-01 14:00:00,2010,1,1,14,0,0.0,24.6,60.1,0.0,0.0
2010-01-01 15:00:00,2010,1,1,15,0,0.0,24.9,46.3,0.0,0.0
2010-01-01 16:00:00,2010,1,1,16,0,0.0,25.0,51.1,0.0,0.0
2010-01-01 17:00:00,2010,1,1,17,0,0.0,24.9,62.0,0.0,0.0
2010-01-01 18:00:00,2010,1,1,18,0,0.0,24.6,62.3,0.0,0.0
2010-01-01 19:00:00,2010,1,1,19,0,0.0,24.1,54.4,0.0,0.0
2010-01-01 20:00:00,2010,1,1,20,0,0.0,23.5,45.8,0.0,0.0
2010-01-01 21:00:00,2010,1,1,21,0,0.0,22.8,56.9,0.0,0.0
2010-01-01 22:00:00,2010,1,1,22,0,0.0,22.0,60.4,0.0,0.0
2010-01-01 23:00:00,2010,1,1,23,0,0.0,21.2,59.8,0.0,0.0
2010-01-02 00:00:00,2010,1,2,0,0,0.0,20.5,54.5,0.0,0.0
2010-01-02 01:00:00,2010,1,2,1,0,0.0,19.9,47.4,0.0,0.0
2010-01-02 02:00:00,2010,1,2,2,0,0.0,19.4,59.8,0.0,0.0
2010-01-02 03:00:00,2010,1,2,3,0,0.0,19.1,48.0,0.0,0.0
2010-01-02 04:00:00,2010,1,2,4,0,0.0,19.0,54.3,0.0,0.0
2010-01-02 05:00:00,2010,1,2,5,0,0.0,19.1,62.3,0.0,0.0
2010-01-02 06:00:00,2010,1,2,6,0,0.0,19.4,48.5,0.0,0.0
2010-01-02 07:00:00,2010,1,2,7,0,0.0,19.9,47.9,0.0,0.0
2010-01-02 08:00:00,2010,1,2,8,0,0.0,20.5,61.8,0.0,0.0
2010-01-02 09:00:00,2010,1,2,9,0,0.0,21.2,63.3,0.0,0.0
2010-01-02 10:00:00,2010,1,2,10,0,0.0,22.0,58.1,0.0,0.0
2010-01-02 11:00:00,2010,1,2,11,0,0.0,22.8,45.1,0.0,0.0
